State,City,Branch,Address,Latitude,Longitude
ANDAMAN & NICOBAR ISLANDS,SRI VIJAYA PURAM,"Phoenix Bay, Andaman ","GROUND FLOOR VELOCITY HOTEL , OPPOSITE TAMILZHAR SANGAM PHOENIX BAY, SRI VIJAYA PURAM SOUTH ANDAMAN  - 744101.",11.6688511,92.736151
Andhra Pradesh,Visakhapatnam,Gajuwaka,"First Floor, Door No. 26-17-22, Ward No. 61, Chinagantyada, Gajuwaka, Visakhapatnam - 500025, Andhra Pradesh",17.68503,83.20871
Andhra Pradesh,Visakhapatnam,Visakhapatnam,"A.S Raja Complex, Waltair Main Road, Ramnagar - 530002, Andhra Pradesh",17.719927,83.31251
Andhra Pradesh,Anantapur,Anantapur,"D.No: 12-2-958, Sai Nagar, Opp : SIU Church, Next to Baby Hospital, Ananthapur- 515001 Andhra Pradesh",14.67988,77.59818
Andhra Pradesh,Kurnool,Kurnool,"40/581, S.V. Complex, Ground Floor, R.S Road - 518 004, Andhra Pradesh",15.8331,78.03925
Andhra Pradesh,Guntur,Guntur (Gudur),"D. No. 6-9-17, Ratna Deepika Plaza, 9/1, Arundelpet - 522 002, Andhra Pradesh",16.30489,80.44133
Andhra Pradesh,Krishna,Vijayawada,"40-1-55, BVR Square, M. G. Road, Near Benz Circle - 520010, Andhra Pradesh",16.4986,80.65276
Andhra Pradesh,Chittoor,Chittoor,"D. No. 20-114 Naidu Buildings, Naidu Bldg Road, Chittoor 517 001, Andhra Pradesh, Andhra Pradesh",13.21325,79.09483
Andhra Pradesh,Krishna,Gudiwada,"Door No : 15/42, Park Road, Revenue Ward No. 4, Gudivada-521301",16.432083,80.99603
Andhra Pradesh,Y.S.R.,Kadapa (Cuddapah),"D. No. 2-787/788/789, 1st Floor, Sai Ram Towers, Sri Hari Rao Street, Nagarajpet - 516 001",14.46839,78.82423
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,"Ground Floor, Ward no. 16/2,Door no. 169, Pogathota, Nellore - 524001",14.449948,79.983581
Andhra Pradesh,Visakhapatnam,Seethammadhara (VJF EC),"D.No: 55-8-34/17, Ground Floor, MIG – 12, Near Alluri Seetaramaraju  Statue, Seethammadhara, Visakhapatnam – 530013 Andhra Pradesh",17.74053,83.31344
Andhra Pradesh,East Godavari,Sarpavaram,"D. No. 70-1-28/2,  Nagamalli thota Jn, Near HP petrol pump,  Pithapuram Road Kakinada - 533003, Andhra Pradesh",16.98579,82.24023
Andhra Pradesh,Visakhapatnam,Nakapalle,"Main Road NH-5, Opp Police Station, Nakkapalli, Visakhapantnam - 531081, Andhra Pradesh",17.40921,82.71592
Andhra Pradesh,Vizianagaram,Kothavalasa,"D No.7-105 & 7-96/5M Opp Police Station, Viziyanagaram Road, Kothavalasa 535183, Andhra Pradesh",17.90198,83.19082
Andhra Pradesh,East Godavari,Rajamundhry,"76-1-4/1, Lalitha Towers, Gandipuram-2, Rajahmundry, East Godavari, Andhra Pradesh 533103, Andhra Pradesh",17.006,81.78809
Andhra Pradesh,East Godavari,Ramachandrapuram,"Ground Floor, Krishnam Raju Complex, Door No - 28 -1-7/1, Main Road, Ramachandrapuram 533255, Andhra Pradesh",16.83611,82.02926
Andhra Pradesh,Visakhapatnam,"Dwarkanagar, Vizag","Ground Floor, D. No 47-10-24/25,  Sai Trade Centre, Dwarka Nagar, 2nd Lane, Visakhapatnam- 530 016, Andhra Pradesh , Andhra Pradesh",17.72647,83.30549
Andhra Pradesh,Krishna,"One Town Area, Vijaywada","Ground Floor, Venkata Satya Sai Complex,  D No 11-25-37, Vinnakotavari Chowk, One Town,KT Road, Vijayawada-520 001, Andhra Pradesh",16.51662,80.64942
Andhra Pradesh,Guntur,"Kothapet, Guntur","Ground floor, D.No.5-25-521,Next to Vijaya Talkies, Near Head Post Office Kothapet Main Road, Kothapet, Guntur-522 001,Andhra Pradesh",16.296187,80.448955
Andhra Pradesh,West Godavari,Tanuku,"Ground Floor, Shop no 11-15, Ramalingeshwara Complex, Door No. 21-14-7 & 21 14-8, R.P. Road, Tanuku- 534 211, West Godavari Dist, Andhra Pradesh",16.755856,81.683075
Andhra Pradesh,East Godavari,Amalapuram,"Ground Floor, D.No. 1-4-16/1,KNF Road, Amalapuram- 533 201,East Godavari Dist, Andhra Pradesh",16.572193,82.000737
Andhra Pradesh,West Godavari,Chinamiram,"Ground  Floor, Door No.  7-150, Ward No 7, Venkataraju Nagar, Juvvalapalem Road Chinaamiram - 534 204, Bhimavaram Mandal,West Godavari Dist, Andhra Pradesh - 534204, Andhra Pradesh",16.541185,81.502019
Andhra Pradesh,Krishna,Nuzvid,"Ground Floor, D- No 25-205, Sy No. 450/1,Opp. Dwarka Tirumala Theatre, Theatre Road, Nuzvid, Krishna, Andhra Pradesh - 521201, Andhra Pradesh",16.787956,80.850801
