State,City,Branch,Address,Latitude,Longitude,Pincode,api_pincode
Chhattisgarh,BEMETARA,BEMETARA,"GROUND FLOOR, SUNDARNAGAR, MAIN RAIPUR ROAD,BEMETARA,CHHATTISGARH - 491335",21.711463,81.537494,491335,
CHHATTISGARH,BHILAI,BHILAI,"1st Floor, Office No. A9/A10, Veer Savarkar Market, GE Road, Bhilai , CG-490023",21.2526803,81.321415,490023,
Chhattisgarh,Bilaspur,BILASPUR,"B-206, 2nd Floor, Shri Narayan Plaza, Link Road, Near Motilal Khurana Petrol Pump, Bilaspur, Chhattisgarh -495001",22.075537,82.154714,495001,
Chhattisgarh,Dhamtari,DHAMTARI,"2nd Floor, Above SBI Bank, Ratnabandha Road, Infront of Shahu Samaj Bhawan, Vivekanand Nagar, Dhamtari – 493773, Chhattisgarh, India",20.707439,81.542282,493773,
Chhattisgarh,Durg,DURG,"Upper Floor, Suraj Compound ,Opp To Ujjalla Bhavan, Near Shree Shivam Mall, Station Road, Durg -491001 (Chhattisgarh)",21.194659,81.283435,491001,
Chhattisgarh,Janjgir-champa,JANJGIR CHAMPA,"1st Floor, Mahakali Empire, Link Road Jangir, Distt, Jangir Champa-495668 (Chattisgarh)",22.01164,82.578658,495668,
Chhattisgarh,MAHASAMUND,MAHASAMUND,"1st Floor, P.H. No. 142/42, Dewangan Complex, Raipur Road, Above PNB Bank, Mahasamund, Chhattisgarh 493445",21.1166985,82.0876197,493445,
Chhattisgarh,Raipur,RAIPUR,"B-1 Second Floor, Nagdev Plaza, Kutchery Chowk, Opposite Punjab Palace Hotel, Raipur (C.G) - 492001",21.247622,81.641973,492001,
Chhattisgarh,Raipur,Raipur BILASPUR ROAD,"Shop No. 89, 104, 105,106, 107, 108, & 109, 1st Floor,D.M. Tower,Ravabhata, Bilaspur Road, Raipur-492331 (CG)",21.310868,81.637159,492331,
DELHI,DELHI,DELHI,"1st Floor, Plot No.65, Village - Nawada, Sewak Park, Dwarka Mod, New Delhi -110059.",28.618771,77.033201,110059,
DELHI,Delhi-netaji-subhash-place,DELHI NETAJI SUBHASH PLACE,"1ST FLOOR, SHOP NO 103, ITL TWIN TOWER, NETAJI SUBHASH PLACE , PITAMPURA-DELHI 110034",28.691162,77.152648,110034,
DELHI,Delhi-rajendra-place,DELHI RAJENDRA PLACE,"Flat No.  701, Vikram Tower Building, Rajendra Place,  New Delhi  110 008",28.64281,77.1766,,110008
DELHI,DELHI,DELHI VIKAS MARG,"1st Floor, A-1, Swasthya Vihar Main, Vikas Marg, Near Nirman Vihar Metro Station, Delhi-110092",28.638474,77.290005,110092,
DELHI,Okhla,OKHLA,"2nd Floor, E-49/12, E-Block, Okhla Industrial Area, Phase II- New Delhi -110020",28.53691,77.267614,110020,
GUJARAT,Ahmedabad,AHMEDABAD,"3rd Floor, Amola Complex, Opp. Girish Cold Drink,  C. G. Road, Ahmedabad 380009 Gujrat",23.032278,72.559529,380009,
Gujarat,AHMEDABAD,AHMEDABAD ASHOKA COMPLEX,"ASHOKA COMPLEX, SHOP NO. 102, IST FLOOR, SARDAR PATEL STADIUM RD, NEAR SAVIOUR HOSPITAL, CHAITANYA NAGAR, NAVRANGPURE, AHMEDABAD,GUJRAT - 380014 ",23.0469354,72.5767699,380014,
Gujarat,Ahmedabad-chandkheda,AHMEDABAD CHANDKHEDA,"Office No 207 & 208, Second Floor, Sangath Mall 1, Visat- Gandhinagar Hiway, Chandkheda , Ahmedabad 382424",23.104702,72.597374,382424,
Gujarat,Amreli,AMRELI,"Shop No. 202-203-204, City Point, opp. R.D. Petrol Pump, Bus Stand Road, Amreli-365601 Gujarat",21.603224,71.22256,365601,
Gujarat,Anand,ANAND,"3 Rd Floor 305 Office no Maruti sharnam Complex Anand Vidyalaya nagar Road Opp Nand Bhumi, Anand : 388120",22.549587,72.953566,388120,
Gujarat,BARDOLI,BARDOLI,"Office No. 101, 1st floor, Rajaram complex,M.N park, Acharya tulsi marg, Bardoli,Dist - Surat,Gujrat - 394601",21.125921,73.116867,394601,
Gujarat,Bayad,BAYAD,"Shop No : 158, Shree ji Dada complax,Nr.Market Yard, Bayad- Kapdvanj Road,Bayad- 383325",23.225138,73.215529,383325,
Gujarat,Bharuch,BHARUCH,"Shop no .32, Aditya comlex, Kasak circle, Bharuch -392012",21.704294,73.002238,392012,
Gujarat,Bhavnagar,BHAVNAGAR,"Office No. 202, 2nd Floor, Siddhivinayak Complex, Opp.Domino's Pizza, Waghawadi Road, Bhavnagar. - 364002 ",21.7494214,72.105866,364002,
Gujarat,BHUJ,BHUJ,"1ST FLOOR, OFFICE NO. 104- 105, PLOT NO. 4, PLANET-9 SPACE, COMMERCE COLLEGE ROAD, BHUJ, DISTRICT KUTCH, GUJARAT -370001",23.24489831,69.66617253,370001,
Gujarat,Bodeli,BODELI,"SHOP NO :- 21 & 22,GROUND FLOOR, JINDAL COMPLEX, ALIPURA, BODELI 391135 GUJARAT",22.274157,73.719651,391135,
Gujarat,Botad,BOTAD,"Shop No 1, Mastarma Complax,Mastaram Mandir Road,Botad",22.172765,71.665011,,364710
Gujarat,Surendranagar,CHOTILA,"Shop No: F1, Shri Hari Madhav Complex, 1st Floor , First Floor, Taluka:, Chotila, Gujarat 363520",22.4263482,71.199232,363520,
Gujarat,Dahod,DAHOD,"Shop No. F-21, F-22 & F-32, 1st Floor, GLK Tower, Station Rd, Near Bus Depot, Dahod 389151 - Gujarat",22.84214,74.25085,389151,
Gujarat,Dholka,DHOLKA,"OFFICE NO.A-102,FIRST FLOOR, ROYAL BUSINESS PARK. A-OPP GOVERNMENT CIRCUIT HOUSE. KALIKUND, DHOLKA. 382225 GUJRAT",22.44227,72.2723,382225,
Gujarat,Gandhi-nagar,GANDHI NAGAR,"Shree Ugati Corporate Park , Shop No :- 301& 302 ,3rd Floor ,Urjanagar 1, Kudasan, Gandhinagar,Gujarat 382421",23.179109,72.636838,382421,
Gujarat,Gandhidham,GANDHIDHAM,"OFFICE NO 202 , 2ND FLOOR,ABOVE YES BANK,PLOT NO -345 ,WARD NO.- 12/B,OPP. ICICI BANK, GANDHIDHAM, GUJARAT -370201",23.065739,70.138338,370201,
Gujarat,Godhra,GODHRA,"1st Floor,Shop No.7,Gayatri Complex,Opp.S.K. Tower,Lunwada Road,Godhra-389001",22.787777,73.61614,389001,
Gujarat,Halwad,HALWAD,"1st floor, Shop No.-101 &102 ,Jiny Complex, Bus stand road, Opp. Halvad Nagar Palika, Halvad,District - Morbi, Gujarat",23.014029,71.183462,,363330
GUJARAT,Himmatnagar,HIMMATNAGAR,"115, 1st Floor, SUN Complex-2, Behind Navjivan Dalbati, Motipira Circle, Motipura, Himmatnagar, Gujarat ? 383001",23.57995,72.959403,383001,
Gujarat,Idar,IDAR,"Damodar Complex, First Floor, Unit No.112 & 113, Javanpura, Taluka-IDar, Dist -Sabarkantha, Gujarat",23.837789,73.001605,,383430
GUJARAT,Jamnagar,JAMNAGAR,"Office no : 311, Kuber Avenu, Gurudwara circle,Jamnagar",22.4738,70.065361,,361006
GUJARAT,Jetpur,JETPUR,"SHOP NO -3 ,TIN BATTI CHOWK, OPP GARDEN PARK, PGVCL STREET, JETPUR 360370",21.754555,70.618775,360370,
GUJARAT,Junagadh,JUNAGADH,"Office no. 305,Rayinagar Shopping Center, Motibag,Junagadh - 362001",21.510797,70.451837,362001,
Gujarat,Kadi,KADI,"Shop No.G-42 ,Ground Floor,Neptune Arcade Shopping,Kundal, Kadi, District- Mehsana,Gujarat",23.294741,72.347441,,384440
GUJARAT,Mehsana,MEHSANA,"Shop No-8 & 9, 2nd Floor, Orbit Business Hub, Near Dena Bank, Radhanpur Road, Mehsana-384002 (GJ)",23.607517,72.377812,384002,
GUJARAT,Morbi,MORBI,"Office no :- 37, 38, 2nd floor, Capital market, Ravapar Rd, above BJP office, Canal Chokdi, Ravapar, Morbi, Gujarat 363641",22.811495,70.830533,363641,
GUJARAT,Naroda,NARODA,"Shop No. -211,Akshar Arcade,Near Devsya International School,Opp. Shyam Villa-2,Nikol-Naroda Road,Nikol,Naroda, Ahmedabad",23.0613473,68.4528361,,
GUJARAT,Narol,NAROL,"Office No -201, 2nd Floor, Shrimad Square,Narol - Aslali Highway,Nr.Bhagirath ICON,N.H.-8,Narol,Ahmedabad-382405",22.955759,72.592136,382405,
Gujarat,Navsari,NAVSARI,"Shop No.101 , Upper level Floor, Rajratan Complex,  House No.1169/1,Ward No.9, Navsari – Gujarat",20.953106,72.92603,,396445
GUJARAT,Palanpur,PALANPUR,"Shop no - 7,2nd Floor,Maruti complax, Opp.income tax Office,Abu highway,Palanpur",24.178779,72.418744,,385001
GUJARAT,Patan,PATAN,"2nd Floor, Krishnam Plaza, Opp.District Court, Patan, Gujarat - 384265",23.839108,72.12754,384265,
GUJARAT,Rajkot,RAJKOT,"905, 9th Floor King's plaza, Astron chowk, Rajkot-360001(Gujarat)",22.291692,70.788112,360001,
Gujarat,Rajkot,RAJKOT AYODHYA CHOWK,"Office No. 201, 2nd Floor, Time Square 2, Ayodhya Chowk, 150 Ft Ring Road",24.653146,75.937275,,326519
Gujarat,RAJKOT,RAJKOT VIRAL HEIGHTS,"3RD FLOOR, OFFICE NO. 308 & 309,310 7 311, VIRAL HEIGHT , NEAR AYODHYA CHOWK, 150 RING ROAD, RAJKOT ,GUJARAT- 360005",22.321255,70.767268,360005,
Gujarat,SANAND,SANAND,"1st Floor, Shiv Krupa Society, Above Bank of Baroda Ahmedabad Road, Sanand, Dist - Ahmedabad, Gujrat - 382110",23.0112763,72.3671799,382110,
Gujarat,Surat,SURAT,"301 REGENT SQUARE, ABOVE D-MART,ADAJAN, SURAT-395009",21.195417,72.79306,395009,
GUJARAT,Surat Kamrej,SURAT KAMREJ,"F.11, First Floor, Dharam Empire, District- Surat, Taluka- Kamrej, Moje- Navagam, Gujarat",21.267081,72.955487,,394185
Gujarat,Surat,SURAT SACHIN,"1ST FLOOR, PLOT NO: 414/1, ROAD NUMBER-4, ABOVE KOTAK MAHINDRA BANK, GIDC INDUSTRIAL ESTATE, GIDC, SACHIN, SURAT-394230, GUJARAT-INDIA",21.1151633,72.8263796,394230,
GUJARAT,Surendranagar,SURENDRANAGAR,"Office no 308/309,3rd Floor, Megamall, Bus Station Main Road, Surendranagar, Gujarat ? 363001",22.724145,71.639333,363001,
Gujarat,Tharad,Tharad,"1st Floor , Office No. 7 & 8, Rajgadh Empire, Block B, Opposite Pipliya Lake, Near HDFC Bank, Tharad, Gujarat - 385565",24.390703,71.6256889,385565,
GUJARAT,Udhana-surat,UDHANA SURAT,"404 & 405, 4th Floor, Milestone Vibrant,Behind Reliance Mall,Udhana Darwaja,Udhana,Surat- 395001",21.182724,72.830929,395001,
Gujarat,Umargaon,UMARGAON,"1st Floor, B 105 & 106, Komal Complex, Village-Solsumba, Tehsil – Umargaon, Dist. Valsad – 396165, Gujrat, India",20.157247,72.783439,396165,
GUJARAT,Vadodara,VADODARA,"115,116,1st Floor, Atlantis, Sarabhai Road, Vadodara -Gujarat",22.31711,73.167785,,390023
Gujarat,Vadodara-waghodia-road,VADODARA WAGHODIA ROAD,"SHOP NO:- 5 & 6 ,1ST FLOOR, SUN RISE COMPLEX, WAGHODIA ROAD, NEAR VRUNDAVAN CROSSING,CHANDA NAGAR, VRUNDAVAN,WAGHODIA, VADODARA,GUJARAT 390019",22.30069,73.238409,390019,
GUJARAT,Vapi,VAPI,"Shop No-122,1th Floor,M/S Girnar Packiging, Plot no 209,  Girnar Khushboo Plaza, Village - Vapi, Taluka-  Pardi , Dist. Valsad",20.369553,72.924924,,396195
Gujarat,Veraval,VERAVAL,"SHOP NO:- 11&12, 1ST FLOOR, VINAYAK PLAZA - 1, RAJENDRA BHUVAN ROAD, VERAVAL, GUJARAT - 362265",20.910147,70.364124,362265,
Haryana,Ambala,AMBALA,"Ground Floor, Triloki Chambers ,Opp. ,Municipal Corporation,Ambala Cant, Haryana -133001,India",30.341777,76.844799,133001,
Haryana,BAHADURGARH,BAHADURGARH," 1st Floor, Plot No 11/12, Gali No 2, Dayanand Nagar, Najafgarh Road, Opp. Bus Stand, Bahadurgarh, Haryana -124507",28.689878,76.935808,124507,
HARYANA,Bhiwani,BHIWANI,"1st Floor, Halwasiya Mall, Hansi Road, Bhiwani ,Haryana-",28.80156,76.134222,,127021
Haryana,Faridabad,FARIDABAD,"SHOP No. 104 to 106 First Floor, Om Shubham Tower, Neelam Bata Road, N.I.T, Faridabad",28.390315,77.306509,,121001
Haryana,Fatehabad,FATEHABAD,"Scheme No. 1, Nagar Sudhar Mandal, Devi lal Market, 1st Floor, Plot No. 23, opp. SDM Court, near HDFC Bank, Fatehabad, Haryana 125001",29.509674,75.4575171,125001,
HARYANA,Gurgaon,GURGAON,"1st Floor, SCO No. 36, HUDA Market, Sector 15, Part-II, Gurugram- Haryana-122001",28.458849,77.043647,122001,
HARYANA,Hisar,HISAR,"SCO, 150-151, First Floor Red Square Market, Hisar, Haryana-125001",29.158532,75.720124,125001,
Haryana,KAITHAL,KAITHAL,"1ST FLOOR PLOT NO. DS 262, HUDA SEC-20, OPP. COMMUNITY CENTRE, KAITHAL, HARYANA-136027",29.81308261,76.41868194,136027,
HARYANA,Karnal,KARNAL,"1st Floor, SCO - 216 P, Sector – 12 - I, Urban Estate ,Karnal, Haryana – 132001",29.695128,77.00161,132001,
HARYANA,Kurukshetra,KURUKSHETRA,"2nd Floor, SCO-4, Sector-17, Kurukshetra, Haryana – 136118",29.969617,76.838778,136118,
Haryana,Narnaul,NARNAUL,"1st Floor, Plot No 206/3, Opp Sp & Dc Residence, Above Bank Of Baroda, Mahendragarh Road",28.056796,76.107605,,123001
Haryana,Panipat,PANIPAT,"1st Floor, SCO1, Sector12, Huda, Panipat, Haryana 132001",29.382137,76.984878,132001,
Haryana,Pinjore,PINJORE,"SHOW ROOM NO.2, ABOVE YES BANK, PINJORE KALKA ROAD, ABDULLAPUR- PINJORE - Haryana, 134102",30.807904,76.91657,134102,
HARYANA,Rewari,REWARI,"1st Floor,346 -L, Model Town, Bawal Road, Near Vijaya Bank, Rewari ,Haryana-123401",28.187232,76.614017,123401,
Haryana,Rohtak,ROHTAK,"1st Floor, Rajendra Kinna Tower, Delhi Road, Rohtak , Haryana -124001",28.892211,76.602348,124001,
HARYANA,Sirsa,SIRSA,"1st Floor, Dabwali Road, Near Punjab National bank, Sirsa, haryana-12055",29.542811,75.028985,,125055
Haryana,Sohna,SOHNA,"Ground Floor , Opp. Vishal Mega Mart, Delhi - Alwar Road, Sohna, Gurgaon, Haryana -122103",28.2442993,77.0715773,122103,
Haryana,Sonipat,SONIPAT,"1st Floor,23L,Near ICICI bank, Model town,  Sonipat ,Haryana-131001",28.98669,77.021208,131001,
Haryana,TOHANA,TOHANA,"Office No. 68A/1/3, 1st FLOOR, ABOVE AXIS BANK, CHANDIGARH ROAD, TOHANA, HARYANA, PIN- 125120",29.708717,75.907283,125120,
HARYANA,Yamunanagar,YAMUNANAGAR,"1st Floor, SCO-142, Sector - 17 , Huda, Jagadhri , Haryana,135003",30.154608,77.292774,135003,
Himachal Pradesh,Mandi,MANDI,"1st Floor, 118/9, Sahib Complex, Mandi-175001, Himachal Pradesh",31.707849,76.932575,175001,
Himachal Pradesh,Shimla,SHIMLA,"Rain Basara Building, 1st Floor, Adj. Reliance, Main Road, Opp HDFC Life, Khalini, Shimla-171002",31.089808,77.171095,171002,
Himachal Pradesh,Solan,SOLAN,"Mehta Complex, 1st Floor, Adjoining Tehsil Gate, Rajgarh Road, Solan -173212",30.9042704,77.105049,173212,
Himachal Pradesh,Una,UNA,"1st Floor, Basant Tower, Ward No. 3, Una-Hamirpur Road – UNA-174303 (HP)",31.5193479,76.2631241,174303,
Karnataka,ANEKAL,ANEKAL,"Aavas Financiers - Home Loan Anekal, 1st Floor, Plot No. 8, 147, Shamrao Layout, Shivaji Circle, Anekal, Karnataka 562106",12.716772,77.700323,562106,
Karnataka,ATHANI,ATHANI,"RS No. 1225/B No.10, 1st floor, Halliyannu gokak road, Near tipu sultan circle, above Goudara medical store, Athani, Karnataka 591304",16.7162237,75.0582238,591304,
