state,city,branch,address,latitude,longitude
CHHATTISGARH,Ambikapur,Ambikapur,"Ground Floor, Ward No- 12, Anand Complex, Ring Road, Ambikapur, District Surguja,",23.114462,83.206606
CHHATTISGARH,Baloda Bazar,BALODA BAZAR,"PLOT NO.-285, GROUND FLOOR, LUCKY COMPLEX, SHOP NO.-3, LAWAN ROAD, BALODA BAZAR, DISTT.-BALODA BAZAR",21.656736,82.174377
Chhattisgarh,Bemetara,Bemetara,"Ground Floor, Khasra No. 1423/5, Ward No. 10, Near Govt. College, Raipur Road, Bemetara",21.69766,81.546484
CHHATTISGARH,Bhilai,BHILAI,"PLOT NO. 14, BLOCK NO.-21, FIRST FLOOR, ABOVE SHARADHA MOTORS, IN FRONT OF GE ROAD, DAKSHIN GANGOTRI, SUPELA, BHILAI, DISTT.-DURG",21.2060125,81.3442478
CHHATTISGARH,Bilaspur,BILASPUR,"H. NO.-22, GAURAV TOWER P, FIRST FLOOR, MOUZA, near INCOME TAX OFFICE, Talapara, Vypar Vihar, Bilaspur",22.0681598,77.266428
CHHATTISGARH,Dhamtari,DHAMTARI,"GULMOHAR HEIGHTS, SHOP NO.-12, GROUND FLOOR, KHASRA NO.-402, HOUSING BOARD COLONY, HATKESHWAR, DHAMTARI, DISTT.-DHAMTARI",20.714366,81.534274
CHHATTISGARH,Janjgir Champa,Janjgir Champa,"First Floor, Near Dream Point Hotel, Champa Road, Dist-Janjgir Champa",22.016482,82.597535
CHHATTISGARH,Kanker,Kanker,"First Floor, Above Bank Of Maharashtra, In Front Of Cspdl Colony, Kanker",20.28268,81.485017
CHHATTISGARH,Kawardha,KAWARDHA,"FIRST FLOOR, VARDHMAN COMPLEX, WARD NO. 24, NEAR HOTEL MOHINI PALACE, RAIPUR ROAD, TEHSIL-KAWARDHA",22.001081,81.238802
CHHATTISGARH,Korba,KORBA,"PLOT NO.-1B/A, INDIRA COMMERCIAL & RESIDENTIAL CENTRE COMPLEX, FIRST FLOOR, NEAR POWER HOUSE ROAD, TRANSPORT NAGAR, KORBA, DISTT.-KORBA",22.358109,82.708171
CHHATTISGARH,Mahasamund,Mahasamund,"First Floor, Kunal Complex, In Front Of Dcb Bank, Raipur Road, Kharora, Mahasamund",21.119559,82.078547
CHHATTISGARH,Mungeli,MUNGELI,"FIRST FLOOR, OPPOSITE OF ELECTRICITY OFFICE, PANDARIYA MARG, MUNGELI, DISTT.-MUNGELI",22.067203,81.674687
Chhattisgarh,Pithora,Pithora,"Khasra No. 908/7, Ground Floor, Near Hanuman Temple, Lahrod Padav, Tehsil Pithora, District Mahasamund",21.25606,82.509797
CHHATTISGARH,Raigarh,RAIGARH,"ADITYA BUSINESS PARK, 405, FOURTH FLOOR, OPPOSITE ICICI BANK, NEAR CARMEL SCHOOL, DHIMRAPUR ROAD, JAGATPUR, RAIGARH, DISTT.-RAIGARH",21.905332,83.392205
CHHATTISGARH,Raipur,RAIPUR,"ROSHAN HEIGHTS, FIRST FLOOR, BHATAGAON, RING ROAD-1, RAIPUR, DISTT.-RAIPUR",21.220513,81.619777
